paper_table,paper_row,comparison_tier,protocol,train_split,validation_split,eval_split,eval_denominator,seeds,seed_scope,output_mode,paper_metrics,artifact_metrics,numeric_match,method_code,evaluation_code,split_source,primary_result_artifact,per_seed_artifact,status,important_notes
II,TransVG,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,forced one-box diagnostic; seeds 13/42/2026,one box,C-IoU=0.4891 +/- 0.0092; U-IoU=0.5419 +/- 0.0103; F1@0.3=0.6899; F1@0.5=0.4909,C-IoU=0.4891 +/- 0.0092; U-IoU=0.5419 +/- 0.0103; F1@0.3=0.6899; F1@0.5=0.4909,True,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\run_transvg_train_compat_wrapper_v2.py ; third_party\TransVG,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,forced one-box diagnostic
II,MedRPG,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,forced one-box diagnostic; seeds 13/42/2026,one box,C-IoU=0.4891 +/- 0.0039; U-IoU=0.5396 +/- 0.0044; F1@0.3=0.7013; F1@0.5=0.4904,C-IoU=0.4891 +/- 0.0039; U-IoU=0.5396 +/- 0.0044; F1@0.3=0.7013; F1@0.5=0.4904,True,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\run_medrpg_train_compat_wrapper_v2.py ; third_party\MedRPG,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,forced one-box diagnostic
II,GuideDecoder adaptation,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,variable segmentation-to-box adaptation; seeds 13/42/2026,variable set,C-IoU=0.4609 +/- 0.0051; U-IoU=0.4335 +/- 0.0121; F1@0.3=0.6351; F1@0.5=0.4572,C-IoU=0.4609 +/- 0.0051; U-IoU=0.4335 +/- 0.0121; F1@0.3=0.6351; F1@0.5=0.4572,True,scripts\run_fair_baseline_expansion_v1.py ; src\fair_baselines\models.py ; third_party\LanGuideMedSeg,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\task_adaptations_phrase_group_v3\runs\guide_decoder,VERIFIED,variable segmentation-to-box adaptation
II,LViT,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,variable segmentation-to-box adaptation; seeds 13/42/2026,variable set,C-IoU=0.3994 +/- 0.0080; U-IoU=0.3797 +/- 0.0024; F1@0.3=0.5939; F1@0.5=0.3803,C-IoU=0.3994 +/- 0.0080; U-IoU=0.3797 +/- 0.0024; F1@0.3=0.5939; F1@0.5=0.3803,True,scripts\run_fair_baseline_expansion_v1.py ; src\fair_baselines\models.py ; third_party\LViT,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,experiments\baseline_faithful_reproduction\20260712_v2\corrections\task_adaptations_phrase_group_v3\runs\lvit,VERIFIED,variable segmentation-to-box adaptation
II,MDETR-style adaptation,controlled local,canonical-1444,813 groups / 996 boxes,124 groups / 164 boxes,220 groups / 280 boxes,220 phrase groups / 280 GT boxes,13/42/2026,forced one-box local MDETR-inspired ablation; seeds 13/42/2026,one box,C-IoU=0.3664 +/- 0.0105; U-IoU=0.4117 +/- 0.0100; F1@0.3=0.5391; F1@0.5=0.3076,C-IoU=0.3664 +/- 0.0105; U-IoU=0.4117 +/- 0.0100; F1@0.3=0.5391; F1@0.5=0.3076,True,scripts\run_ms_cxr_mdetr_fair_baseline_v1.py,linux_transfer\controlled_direct_baseline_2x3090ti_20260719_v1\scripts\evaluate_controlled_direct_baseline_matrix_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_canonical_v3\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\baseline_table_verified_refresh\20260724_v1\controlled_multibox_1444.csv,private per-seed artifact; aggregate values are in results/main,VERIFIED,forced one-box local MDETR-inspired ablation
II,ClueGround,local ours - paper-selected legacy split path,legacy-1444,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes (same examples as canonical eval),220 phrase groups / 280 GT boxes,13/42/2026,seed-specific hybrid/gate 13/42/2026 with fixed legacy semantic candidate table,variable set,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148,True,scripts\run_clueground_finding_moe_full_upstream_no_siglip_score_ablation_v1.py ; scripts\run_clueground_finding_moe_full_upstream_siglip_only_3seed_v1.py ; scripts\run_ms_cxr_trainable_moe_gate_v1.py ; scripts\run_ms_cxr_multibox_rule_context_fusion_v4_yolov8l_pool.py,scripts\run_final_methodology_verification_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_finding_moe_full_upstream_no_siglip_score_ablation_v1\FINAL_STATUS.json,experiments\clueground_finding_moe_full_upstream_no_siglip_score_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED_WITH_HIGH_PRIORITY_METHOD_NOTE),"Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). This 0.5373 path is not the pure canonical hybrid-v4. It uses legacy 814/125 data, a fixed legacy candidate table with SigLIP columns removed, and a finding-conditioned gate. The train candidate table lacks score_head while val/eval contain it. Paper methods should disclose or rerun this path."
III,YOLO only,component ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,"fixed final path, seeds 13/42/2026",top-ranked box,mIoU=0.5361 +/- 0.0170; Hit@0.3=0.7607; Hit@0.5=0.6155,mIoU=0.5361 +/- 0.0170; Hit@0.3=0.7607; Hit@0.5=0.6155,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_III_COMPONENT_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
III,RAD-DINO only,component ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,"fixed final path, seeds 13/42/2026",top-ranked box,mIoU=0.4717 +/- 0.0016; Hit@0.3=0.7382; Hit@0.5=0.4867,mIoU=0.4717 +/- 0.0016; Hit@0.3=0.7382; Hit@0.5=0.4867,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_III_COMPONENT_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
III,YOLO + RAD-DINO,component ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,"fixed final path, seeds 13/42/2026",top-ranked box,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_III_COMPONENT_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
IV,YOLO only,component ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,"fixed final path, seeds 13/42/2026",variable set,C-IoU=0.5157 +/- 0.0053; U-IoU=0.5143 +/- 0.0033; F1@0.3=0.7445; F1@0.5=0.5809; Count=1.2379,C-IoU=0.5157 +/- 0.0053; U-IoU=0.5143 +/- 0.0033; F1@0.3=0.7445; F1@0.5=0.5809; Count=1.2379,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_IV_COMPONENT_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
IV,RAD-DINO only,component ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,"fixed final path, seeds 13/42/2026",variable set,C-IoU=0.4033 +/- 0.0092; U-IoU=0.4441 +/- 0.0129; F1@0.3=0.6306; F1@0.5=0.3639; Count=1.0000,C-IoU=0.4033 +/- 0.0092; U-IoU=0.4441 +/- 0.0129; F1@0.3=0.6306; F1@0.5=0.3639; Count=1.0000,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_IV_COMPONENT_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
IV,YOLO + RAD-DINO,component ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,"fixed final path, seeds 13/42/2026",variable set,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148; Count=1.2348,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148; Count=1.2348,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_IV_COMPONENT_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Exact positive-control ablation: unchanged final candidates/fusion/decoder except the named visual arm.
V,Full query,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,mIoU=0.5486 +/- 0.0107; Hit@0.3=0.7730; Hit@0.5=0.6258,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
